text,label
Donald Trump says the election was rigged and he won by a landslide,FAKE
NASA scientists announce discovery of water on Mars after rover findings,REAL
Breaking Cure for cancer discovered by small startup in California,FAKE
Government approves new COVID-19 vaccine with 95% effectiveness,REAL
Aliens landed in New York City last night and spoke to reporters,FAKE
World Health Organization declares malaria eradicated in Asia,REAL
Hollywood actor claims time travel is real after secret experiment,FAKE
India successfully launches its heaviest satellite into orbit,REAL
Facebook to start charging all users monthly subscription fee,FAKE
Scientists develop AI system that can detect diseases from cough sounds,REAL
